,yearmonth,jodi_count,richard_count
0,2018-04,6.409381663113006,5.921296296296297
1,2018-05,6.913966480446927,7.028322440087146
2,2018-06,5.837294332723949,5.706002728512961
3,2018-07,4.970370370370371,4.872316384180791
4,2018-08,5.202266782911944,4.639046538024972
5,2018-09,5.594505494505494,4.667121418826739
6,2018-10,5.2063983488132095,4.458509142053446
7,2018-11,4.78,4.123989218328841
8,2018-12,5.070278184480234,6.107078039927405
9,2019-01,5.535147392290249,4.841432225063938
10,2019-02,5.5577617328519855,4.7643020594965675
11,2019-03,4.914362176628011,5.035187287173667
12,2019-04,4.924382716049383,5.487912087912088
13,2019-05,4.654008438818566,3.9757575757575756
14,2019-06,4.893387314439946,4.837552742616034
15,2019-07,5.4856711915535445,4.217659137577002
16,2019-08,4.615062761506276,4.498516320474778
17,2019-09,5.632978723404255,4.527777777777778
18,2019-10,5.175557710960232,6.057174887892376
19,2019-11,4.930026109660575,5.052356020942408
20,2019-12,5.4992559523809526,5.340248962655601
21,2020-01,5.364864864864865,5.1253602305475505
